id_pais,id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre,provincia_nombre,ccaa_nombre,id_isla,isla,gid_municipio,gid_provincia,gid_ccaa
ES,10030279,030279,03,10,Beniardà,alicante/alacant,Comunitat Valenciana,,,ES-10030279,ES-03,ES-10
ES,10030285,030285,03,10,Beniarrés,alicante/alacant,Comunitat Valenciana,,,ES-10030285,ES-03,ES-10
ES,10030302,030302,03,10,Benidoleig,alicante/alacant,Comunitat Valenciana,,,ES-10030302,ES-03,ES-10
ES,10030319,030319,03,10,Benidorm,alicante/alacant,Comunitat Valenciana,,,ES-10030319,ES-03,ES-10
ES,10030324,030324,03,10,Benifallim,alicante/alacant,Comunitat Valenciana,,,ES-10030324,ES-03,ES-10
ES,10030330,030330,03,10,Benifato,alicante/alacant,Comunitat Valenciana,,,ES-10030330,ES-03,ES-10
ES,10030298,030298,03,10,Benigembla,alicante/alacant,Comunitat Valenciana,,,ES-10030298,ES-03,ES-10
ES,10030345,030345,03,10,Benijófar,alicante/alacant,Comunitat Valenciana,,,ES-10030345,ES-03,ES-10
ES,10030358,030358,03,10,Benilloba,alicante/alacant,Comunitat Valenciana,,,ES-10030358,ES-03,ES-10
ES,10030361,030361,03,10,Benillup,alicante/alacant,Comunitat Valenciana,,,ES-10030361,ES-03,ES-10
ES,10030377,030377,03,10,Benimantell,alicante/alacant,Comunitat Valenciana,,,ES-10030377,ES-03,ES-10
ES,10030383,030383,03,10,Benimarfull,alicante/alacant,Comunitat Valenciana,,,ES-10030383,ES-03,ES-10
ES,10030396,030396,03,10,Benimassot,alicante/alacant,Comunitat Valenciana,,,ES-10030396,ES-03,ES-10
ES,10030400,030400,03,10,Benimeli,alicante/alacant,Comunitat Valenciana,,,ES-10030400,ES-03,ES-10
ES,10030417,030417,03,10,Benissa,alicante/alacant,Comunitat Valenciana,,,ES-10030417,ES-03,ES-10
ES,10030438,030438,03,10,Biar,alicante/alacant,Comunitat Valenciana,,,ES-10030438,ES-03,ES-10
ES,10030443,030443,03,10,Bigastro,alicante/alacant,Comunitat Valenciana,,,ES-10030443,ES-03,ES-10
ES,10030456,030456,03,10,Bolulla,alicante/alacant,Comunitat Valenciana,,,ES-10030456,ES-03,ES-10
ES,10030469,030469,03,10,Busot,alicante/alacant,Comunitat Valenciana,,,ES-10030469,ES-03,ES-10
ES,10030494,030494,03,10,Callosa de Segura,alicante/alacant,Comunitat Valenciana,,,ES-10030494,ES-03,ES-10
ES,10030481,030481,03,10,Callosa d'en Sarrià,alicante/alacant,Comunitat Valenciana,,,ES-10030481,ES-03,ES-10
ES,10030475,030475,03,10,Calp,alicante/alacant,Comunitat Valenciana,,,ES-10030475,ES-03,ES-10
ES,10030514,030514,03,10,"Camp de Mirra, el/Campo de Mirra",alicante/alacant,Comunitat Valenciana,,,ES-10030514,ES-03,ES-10
ES,10030507,030507,03,10,"Campello, el",alicante/alacant,Comunitat Valenciana,,,ES-10030507,ES-03,ES-10
ES,10030529,030529,03,10,Cañada,alicante/alacant,Comunitat Valenciana,,,ES-10030529,ES-03,ES-10
ES,10030535,030535,03,10,Castalla,alicante/alacant,Comunitat Valenciana,,,ES-10030535,ES-03,ES-10
ES,10030540,030540,03,10,Castell de Castells,alicante/alacant,Comunitat Valenciana,,,ES-10030540,ES-03,ES-10
ES,10030759,030759,03,10,"Castell de Guadalest, el",alicante/alacant,Comunitat Valenciana,,,ES-10030759,ES-03,ES-10
ES,10030553,030553,03,10,Catral,alicante/alacant,Comunitat Valenciana,,,ES-10030553,ES-03,ES-10
ES,10030566,030566,03,10,Cocentaina,alicante/alacant,Comunitat Valenciana,,,ES-10030566,ES-03,ES-10
ES,10030572,030572,03,10,Confrides,alicante/alacant,Comunitat Valenciana,,,ES-10030572,ES-03,ES-10
ES,10030588,030588,03,10,Cox,alicante/alacant,Comunitat Valenciana,,,ES-10030588,ES-03,ES-10
ES,10030591,030591,03,10,Crevillent,alicante/alacant,Comunitat Valenciana,,,ES-10030591,ES-03,ES-10
ES,10030612,030612,03,10,Daya Nueva,alicante/alacant,Comunitat Valenciana,,,ES-10030612,ES-03,ES-10
ES,10030627,030627,03,10,Daya Vieja,alicante/alacant,Comunitat Valenciana,,,ES-10030627,ES-03,ES-10
ES,10030633,030633,03,10,Dénia,alicante/alacant,Comunitat Valenciana,,,ES-10030633,ES-03,ES-10
ES,10030648,030648,03,10,Dolores,alicante/alacant,Comunitat Valenciana,,,ES-10030648,ES-03,ES-10
ES,10030664,030664,03,10,Elda,alicante/alacant,Comunitat Valenciana,,,ES-10030664,ES-03,ES-10
ES,10030651,030651,03,10,Elx/Elche,alicante/alacant,Comunitat Valenciana,,,ES-10030651,ES-03,ES-10
ES,10030670,030670,03,10,Fageca,alicante/alacant,Comunitat Valenciana,,,ES-10030670,ES-03,ES-10
ES,10030686,030686,03,10,Famorca,alicante/alacant,Comunitat Valenciana,,,ES-10030686,ES-03,ES-10
ES,10030699,030699,03,10,Finestrat,alicante/alacant,Comunitat Valenciana,,,ES-10030699,ES-03,ES-10
ES,10030778,030778,03,10,"Fondó de les Neus, el/Hondón de las Nieves",alicante/alacant,Comunitat Valenciana,,,ES-10030778,ES-03,ES-10
ES,10030703,030703,03,10,Formentera del Segura,alicante/alacant,Comunitat Valenciana,,,ES-10030703,ES-03,ES-10
ES,10030725,030725,03,10,Gaianes,alicante/alacant,Comunitat Valenciana,,,ES-10030725,ES-03,ES-10
ES,10030710,030710,03,10,Gata de Gorgos,alicante/alacant,Comunitat Valenciana,,,ES-10030710,ES-03,ES-10
ES,10030731,030731,03,10,Gorga,alicante/alacant,Comunitat Valenciana,,,ES-10030731,ES-03,ES-10
ES,10030746,030746,03,10,Granja de Rocamora,alicante/alacant,Comunitat Valenciana,,,ES-10030746,ES-03,ES-10
ES,10030762,030762,03,10,Guardamar del Segura,alicante/alacant,Comunitat Valenciana,,,ES-10030762,ES-03,ES-10
ES,10030784,030784,03,10,Hondón de los Frailes,alicante/alacant,Comunitat Valenciana,,,ES-10030784,ES-03,ES-10
ES,10030797,030797,03,10,Ibi,alicante/alacant,Comunitat Valenciana,,,ES-10030797,ES-03,ES-10
ES,10030801,030801,03,10,Jacarilla,alicante/alacant,Comunitat Valenciana,,,ES-10030801,ES-03,ES-10
ES,10030857,030857,03,10,Llíber,alicante/alacant,Comunitat Valenciana,,,ES-10030857,ES-03,ES-10
ES,10030860,030860,03,10,Millena,alicante/alacant,Comunitat Valenciana,,,ES-10030860,ES-03,ES-10
ES,10030882,030882,03,10,Monforte del Cid,alicante/alacant,Comunitat Valenciana,,,ES-10030882,ES-03,ES-10
ES,10030895,030895,03,10,Monòver/Monóvar,alicante/alacant,Comunitat Valenciana,,,ES-10030895,ES-03,ES-10
ES,10039037,039037,03,10,"Montesinos, Los",alicante/alacant,Comunitat Valenciana,,,ES-10039037,ES-03,ES-10
ES,10030916,030916,03,10,Murla,alicante/alacant,Comunitat Valenciana,,,ES-10030916,ES-03,ES-10
ES,10030921,030921,03,10,Muro de Alcoy,alicante/alacant,Comunitat Valenciana,,,ES-10030921,ES-03,ES-10
ES,10030909,030909,03,10,Mutxamel,alicante/alacant,Comunitat Valenciana,,,ES-10030909,ES-03,ES-10
ES,10030937,030937,03,10,Novelda,alicante/alacant,Comunitat Valenciana,,,ES-10030937,ES-03,ES-10
ES,10030942,030942,03,10,"Nucia, la",alicante/alacant,Comunitat Valenciana,,,ES-10030942,ES-03,ES-10
ES,10030955,030955,03,10,Ondara,alicante/alacant,Comunitat Valenciana,,,ES-10030955,ES-03,ES-10
ES,10030968,030968,03,10,Onil,alicante/alacant,Comunitat Valenciana,,,ES-10030968,ES-03,ES-10
ES,10030974,030974,03,10,Orba,alicante/alacant,Comunitat Valenciana,,,ES-10030974,ES-03,ES-10
ES,10030993,030993,03,10,Orihuela,alicante/alacant,Comunitat Valenciana,,,ES-10030993,ES-03,ES-10
ES,10030844,030844,03,10,"Orxa, l'/Lorcha",alicante/alacant,Comunitat Valenciana,,,ES-10030844,ES-03,ES-10
ES,10030980,030980,03,10,Orxeta,alicante/alacant,Comunitat Valenciana,,,ES-10030980,ES-03,ES-10
ES,10031007,031007,03,10,Parcent,alicante/alacant,Comunitat Valenciana,,,ES-10031007,ES-03,ES-10
ES,10031014,031014,03,10,Pedreguer,alicante/alacant,Comunitat Valenciana,,,ES-10031014,ES-03,ES-10
ES,10031029,031029,03,10,Pego,alicante/alacant,Comunitat Valenciana,,,ES-10031029,ES-03,ES-10
ES,10031035,031035,03,10,Penàguila,alicante/alacant,Comunitat Valenciana,,,ES-10031035,ES-03,ES-10
ES,10031040,031040,03,10,Petrer,alicante/alacant,Comunitat Valenciana,,,ES-10031040,ES-03,ES-10
ES,10039021,039021,03,10,Pilar de la Horadada,alicante/alacant,Comunitat Valenciana,,,ES-10039021,ES-03,ES-10
ES,10031053,031053,03,10,"Pinós, el/Pinoso",alicante/alacant,Comunitat Valenciana,,,ES-10031053,ES-03,ES-10
ES,10031066,031066,03,10,Planes,alicante/alacant,Comunitat Valenciana,,,ES-10031066,ES-03,ES-10
