id_municipio,lat,lon,osm_id,osm_type,osm_query_usada,osm_pass
07240299,42.9536700,-6.1479520,346911,relation,"Cabrillanes, león, Castilla y León, España",pass_1
07240303,42.5990160,-6.7255949,342769,relation,"Cacabelos, león, Castilla y León, España",pass_1
07240310,42.3885967,-5.0801303,340417,relation,"Calzada del Coto, león, Castilla y León, España",pass_1
07240325,42.1423995,-5.4934322,340414,relation,"Campazas, león, Castilla y León, España",pass_1
07240331,42.4390904,-5.5277177,340415,relation,"Campo de Villavidel, león, Castilla y León, España",pass_1
07240346,42.5775672,-6.6675865,340410,relation,"Camponaraya, león, Castilla y León, España",pass_1
07240378,42.9590814,-5.5717451,342764,relation,"Cármenes, león, Castilla y León, España",pass_1
07240384,42.5572411,-6.7289709,342773,relation,"Carracedelo, león, Castilla y León, España",pass_1
07240397,42.5825403,-5.8288460,342774,relation,"Carrizo, león, Castilla y León, España",pass_1
07240401,42.7966168,-5.7435693,345191,relation,"Carrocera, león, Castilla y León, España",pass_1
07240418,42.4903276,-6.7613409,345186,relation,"Carucedo, león, Castilla y León, España",pass_1
07240423,42.2204088,-5.4220406,345184,relation,"Castilfalé, león, Castilla y León, España",pass_1
07240439,42.3402660,-6.5513871,347929,relation,"Castrillo de Cabrera, león, Castilla y León, España",pass_1
07240444,42.3237923,-6.1338534,345182,relation,"Castrillo de la Valduerna, león, Castilla y León, España",pass_1
07240460,42.1953893,-5.9799674,347926,relation,"Castrocalbón, león, Castilla y León, España",pass_1
07240476,42.1837270,-6.1916204,345179,relation,"Castrocontrigo, león, Castilla y León, España",pass_1
07240495,42.5809609,-6.4677875,347934,relation,"Castropodame, león, Castilla y León, España",pass_1
07240508,42.3463346,-5.2481945,346047,relation,"Castrotierra de Valmadrigal, león, Castilla y León, España",pass_1
07240515,42.4915159,-5.1168441,344178,relation,"Cea, león, Castilla y León, España",pass_1
07240520,42.7249878,-5.0258867,346049,relation,"Cebanico, león, Castilla y León, España",pass_1
07240536,42.2570401,-5.8258845,343687,relation,"Cebrones del Río, león, Castilla y León, España",pass_1
07240652,42.5069416,-5.6868872,346585,relation,"Chozas de Abajo, león, Castilla y León, España",pass_1
07240541,42.1180290,-5.5984783,346052,relation,"Cimanes de la Vega, león, Castilla y León, España",pass_1
07240554,42.6177068,-5.8059392,343689,relation,"Cimanes del Tejar, león, Castilla y León, España",pass_1
07240567,42.8031437,-5.1255957,343690,relation,"Cistierna, león, Castilla y León, España",pass_1
07240573,42.2554282,-6.0362252,346632,relation,"Congosto, león, Castilla y León, España",pass_1
07240589,42.4077051,-5.4595325,343692,relation,"Corbillos de los Oteros, león, Castilla y León, España",pass_1
07240592,42.5807721,-6.8185695,343693,relation,"Corullón, león, Castilla y León, España",pass_1
07240606,42.9033585,-5.1431358,347663,relation,"Crémenes, león, Castilla y León, España",pass_1
07240613,42.7111486,-5.6391530,347662,relation,"Cuadros, león, Castilla y León, España",pass_1
07240628,42.3719398,-5.5076444,343395,relation,"Cubillas de los Oteros, león, Castilla y León, España",pass_1
07240634,42.6558903,-5.1756683,343394,relation,"Cubillas de Rueda, león, Castilla y León, España",pass_1
07240649,42.6240882,-6.5629162,347667,relation,"Cubillos del Sil, león, Castilla y León, España",pass_1
07240665,42.3269886,-6.0939860,343413,relation,"Destriana, león, Castilla y León, España",pass_1
07240671,42.2634788,-6.6563752,347668,relation,"Encinedo, león, Castilla y León, España",pass_1
07240687,42.8088851,-5.2140151,6566237027,node,"Ercina, La, león, Castilla y León, España",pass_1
07240690,42.3135885,-4.9657279,347658,relation,"Escobar de Campos, león, Castilla y León, España",pass_1
07240704,42.7680405,-6.6249887,344340,relation,"Fabero, león, Castilla y León, España",pass_1
07240711,42.6437299,-6.3195105,343381,relation,"Folgoso de la Ribera, león, Castilla y León, España",pass_1
07240732,42.3458944,-5.5361462,344339,relation,"Fresno de la Vega, león, Castilla y León, España",pass_1
07240747,42.1778728,-5.4466860,343384,relation,"Fuentes de Carbajal, león, Castilla y León, España",pass_1
