id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
85,ES,01,11,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,cadiz,4314.5,163.5,4.35,4.26,8809,True
86,ES,01,14,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,cordoba,61899.0,1317.0,4.3,4.29,93962,True
87,ES,01,18,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,granada,24137.0,799.75,4.35,4.37,153042,True
88,ES,01,21,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,huelva,106396.0,1588.0,4.23,4.11,9984,True
89,ES,01,23,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,jaen,147334.0,3982.0,4.3,4.33,16236,True
90,ES,01,29,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,malaga,2522886.0,920.0,4.43,4.43,158253,True
91,ES,01,41,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",andalucia,sevilla,83530.33,571.33,4.41,4.34,218279,True
92,ES,02,50,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",aragon,zaragoza,2988.0,128.5,4.34,4.21,41352,True
93,ES,05,35,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",canarias,las palmas,386861.33,607.33,4.27,4.28,51395,True
94,ES,05,38,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",canarias,santa cruz de tenerife,108512.0,1624.0,4.28,4.26,66584,True
95,ES,06,39,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cantabria,cantabria,31680.0,132.0,4.28,4.27,27507,True
96,ES,08,02,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,albacete,55677.0,831.0,4.09,4.15,3663,True
97,ES,08,13,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,ciudad real,1980.0,792.0,4.33,4.29,7266,True
98,ES,08,16,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,cuenca,4527.5,1035.5,4.27,4.19,13771,True
99,ES,08,19,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla - la mancha,guadalajara,87240.0,30.0,4.18,4.04,6159,True
100,ES,07,05,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,avila,57015.0,1267.0,4.42,4.23,13407,True
101,ES,07,09,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,burgos,6201.0,2067.0,4.35,4.28,19776,True
102,ES,07,37,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,salamanca,72840.33,203.67,4.24,4.17,31972,True
103,ES,07,47,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",castilla y leon,valladolid,202600.5,1205.5,4.14,4.06,13695,True
104,ES,09,08,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,barcelona,546691.7,767.4,4.07,4.05,732080,True
105,ES,09,17,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,girona,52194.67,743.33,4.24,4.24,50915,True
106,ES,09,25,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,lleida,59297.0,1379.0,4.29,4.27,7171,True
107,ES,09,43,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",cataluna,tarragona,113763.0,2145.75,4.23,4.2,53439,True
108,ES,13,28,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunidad de madrid,madrid,400106.83,1020.33,4.15,4.1,458466,True
109,ES,15,31,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunidad foral de navarra,navarra,57630.33,7200.33,4.25,4.23,19680,True
110,ES,10,03,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunitat valenciana,alicante/alacant,29744.67,321.0,4.28,4.28,67888,True
111,ES,10,46,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",comunitat valenciana,valencia/valencia,383055.0,1255.67,4.25,4.15,114505,True
112,ES,11,06,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",extremadura,badajoz,19880.0,1297.5,4.26,4.29,18348,True
113,ES,11,10,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",extremadura,caceres,4500.0,100.0,4.31,4.33,23514,True
114,ES,12,15,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,a coruna,13688.5,3580.5,4.26,4.21,50198,True
115,ES,12,27,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,lugo,160.0,40.0,4.33,4.28,8872,True
116,ES,12,36,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",galicia,pontevedra,751054.5,897.5,4.07,4.17,15892,True
117,ES,04,07,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",illes balears,illes balears,136190.12,1227.12,4.21,4.33,107418,True
118,ES,17,26,2023,7,paisaje urbano,espectaculos,"cultura, teatro y danza",la rioja,la rioja,211831.5,1765.5,4.29,4.31,11493,True
