id_pais,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio
ES,08,2023,7,paisaje urbano,espectaculos,museo y exposiciones,cataluna,barcelona,8769.0,818.0
ES,43,2023,7,paisaje urbano,espectaculos,museo y exposiciones,cataluna,tarragona,17208.0,2151.0
ES,03,2023,7,paisaje urbano,espectaculos,museo y exposiciones,comunitat valenciana,alicante/alacant,11700.0,468.0
ES,46,2023,7,paisaje urbano,espectaculos,museo y exposiciones,comunitat valenciana,valencia/valencia,66798.0,1237.0
ES,15,2023,7,paisaje urbano,espectaculos,museo y exposiciones,galicia,a coruna,23576.0,5894.0
ES,27,2023,7,paisaje urbano,espectaculos,museo y exposiciones,galicia,lugo,160.0,40.0
ES,07,2023,7,paisaje urbano,espectaculos,museo y exposiciones,illes balears,illes balears,2072.0,518.0
ES,01,2023,7,paisaje urbano,espectaculos,museo y exposiciones,pais vasco,araba/alava,11948.0,412.0
ES,48,2023,7,paisaje urbano,espectaculos,museo y exposiciones,pais vasco,bizkaia,618048.0,928.0
ES,04,2023,7,vida nocturna,espectaculos,musica,andalucia,almeria,1146958.33,1321.83
ES,11,2023,7,vida nocturna,espectaculos,musica,andalucia,cadiz,375798.89,1649.89
ES,14,2023,7,vida nocturna,espectaculos,musica,andalucia,cordoba,129651.17,1568.5
ES,18,2023,7,vida nocturna,espectaculos,musica,andalucia,granada,306286.38,1806.38
ES,21,2023,7,vida nocturna,espectaculos,musica,andalucia,huelva,14154.0,1011.0
ES,23,2023,7,vida nocturna,espectaculos,musica,andalucia,jaen,299137.0,1709.14
ES,29,2023,7,vida nocturna,espectaculos,musica,andalucia,malaga,763325.56,1759.44
ES,41,2023,7,vida nocturna,espectaculos,musica,andalucia,sevilla,934062.67,707.33
ES,22,2023,7,vida nocturna,espectaculos,musica,aragon,huesca,27594.0,1533.0
ES,44,2023,7,vida nocturna,espectaculos,musica,aragon,teruel,62036.5,2380.0
ES,50,2023,7,vida nocturna,espectaculos,musica,aragon,zaragoza,291533.0,1505.71
ES,35,2023,7,vida nocturna,espectaculos,musica,canarias,las palmas,373714.14,736.71
ES,38,2023,7,vida nocturna,espectaculos,musica,canarias,santa cruz de tenerife,290672.38,1547.69
ES,39,2023,7,vida nocturna,espectaculos,musica,cantabria,cantabria,56899.0,2590.67
ES,02,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,albacete,55484.5,400.5
ES,13,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,ciudad real,222238.33,1388.33
ES,16,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,cuenca,651227.0,2351.0
ES,19,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,guadalajara,129619.33,867.67
ES,45,2023,7,vida nocturna,espectaculos,musica,castilla - la mancha,toledo,73905.0,5685.0
ES,05,2023,7,vida nocturna,espectaculos,musica,castilla y leon,avila,126616.0,2261.0
ES,09,2023,7,vida nocturna,espectaculos,musica,castilla y leon,burgos,150628.4,1190.8
ES,24,2023,7,vida nocturna,espectaculos,musica,castilla y leon,leon,134013.0,1441.0
ES,37,2023,7,vida nocturna,espectaculos,musica,castilla y leon,salamanca,14057735.0,1103.0
ES,40,2023,7,vida nocturna,espectaculos,musica,castilla y leon,segovia,310.0,155.0
ES,42,2023,7,vida nocturna,espectaculos,musica,castilla y leon,soria,3410.0,110.0
ES,47,2023,7,vida nocturna,espectaculos,musica,castilla y leon,valladolid,887112.67,2778.67
ES,49,2023,7,vida nocturna,espectaculos,musica,castilla y leon,zamora,36399.0,1103.0
ES,08,2023,7,vida nocturna,espectaculos,musica,cataluna,barcelona,844822.43,1658.9
ES,17,2023,7,vida nocturna,espectaculos,musica,cataluna,girona,188796.47,1270.11
ES,25,2023,7,vida nocturna,espectaculos,musica,cataluna,lleida,202674.5,1830.5
ES,43,2023,7,vida nocturna,espectaculos,musica,cataluna,tarragona,255957.85,942.65
ES,51,2023,7,vida nocturna,espectaculos,musica,ceuta,ceuta,6048.0,96.0
ES,28,2023,7,vida nocturna,espectaculos,musica,comunidad de madrid,madrid,1790684.75,970.88
ES,31,2023,7,vida nocturna,espectaculos,musica,comunidad foral de navarra,navarra,463272.57,2027.14
ES,03,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,alicante/alacant,120728.31,1496.85
ES,12,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,castellon/castello,33561.0,1056.0
ES,46,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,valencia/valencia,1036629.0,1496.2
ES,06,2023,7,vida nocturna,espectaculos,musica,extremadura,badajoz,16551.25,1278.0
ES,10,2023,7,vida nocturna,espectaculos,musica,extremadura,caceres,67657.25,788.75
ES,15,2023,7,vida nocturna,espectaculos,musica,galicia,a coruna,375328.12,877.62
ES,27,2023,7,vida nocturna,espectaculos,musica,galicia,lugo,1790.0,236.0
ES,32,2023,7,vida nocturna,espectaculos,musica,galicia,ourense,10360.0,280.0
ES,36,2023,7,vida nocturna,espectaculos,musica,galicia,pontevedra,429890.57,1298.71
ES,07,2023,7,vida nocturna,espectaculos,musica,illes balears,illes balears,399790.59,1656.69
ES,26,2023,7,vida nocturna,espectaculos,musica,la rioja,la rioja,87169.0,1596.33
ES,01,2023,7,vida nocturna,espectaculos,musica,pais vasco,araba/alava,33573.0,1083.0
ES,48,2023,7,vida nocturna,espectaculos,musica,pais vasco,bizkaia,103964.25,1313.25
ES,20,2023,7,vida nocturna,espectaculos,musica,pais vasco,gipuzkoa,113188.0,1495.67
ES,33,2023,7,vida nocturna,espectaculos,musica,principado de asturias,asturias,143701.0,1022.33
ES,30,2023,7,vida nocturna,espectaculos,musica,region de murcia,murcia,180908.67,1002.0
ES,04,2023,7,vida nocturna,espectaculos,musicales,andalucia,almeria,7455.0,125.0
ES,18,2023,7,vida nocturna,espectaculos,musicales,andalucia,granada,7095.0,165.0
ES,29,2023,7,vida nocturna,espectaculos,musicales,andalucia,malaga,13554.0,502.0
ES,35,2023,7,vida nocturna,espectaculos,musicales,canarias,las palmas,24526.0,535.5
ES,38,2023,7,vida nocturna,espectaculos,musicales,canarias,santa cruz de tenerife,240.0,80.0
ES,39,2023,7,vida nocturna,espectaculos,musicales,cantabria,cantabria,1188.0,198.0
ES,37,2023,7,vida nocturna,espectaculos,musicales,castilla y leon,salamanca,80800.0,200.0
ES,47,2023,7,vida nocturna,espectaculos,musicales,castilla y leon,valladolid,1440.0,160.0
ES,08,2023,7,vida nocturna,espectaculos,musicales,cataluna,barcelona,1582266.0,1119.0
ES,17,2023,7,vida nocturna,espectaculos,musicales,cataluna,girona,19520.0,80.0
ES,43,2023,7,vida nocturna,espectaculos,musicales,cataluna,tarragona,150731.0,2471.0
ES,28,2023,7,vida nocturna,espectaculos,musicales,comunidad de madrid,madrid,29358.67,892.67
ES,46,2023,7,vida nocturna,espectaculos,musicales,comunitat valenciana,valencia/valencia,64445.5,949.5
ES,06,2023,7,vida nocturna,espectaculos,musicales,extremadura,badajoz,800.0,160.0
ES,07,2023,7,vida nocturna,espectaculos,musicales,illes balears,illes balears,400449.5,2845.0
ES,13,2023,7,paisaje naturaleza,espectaculos,parques tematicos,castilla - la mancha,ciudad real,26312.0,2024.0
ES,25,2023,7,paisaje naturaleza,espectaculos,parques tematicos,cataluna,lleida,59204.0,3116.0
ES,28,2023,7,paisaje naturaleza,espectaculos,parques tematicos,comunidad de madrid,madrid,305664.0,512.0
ES,11,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,cadiz,31536.0,2628.0
ES,14,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,cordoba,569927.5,2602.5
ES,21,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,huelva,680.0,170.0
ES,23,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,jaen,3928.0,982.0
ES,29,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,malaga,157943.0,2677.0
ES,41,2023,8,paisaje naturaleza,actividades,actividades infantiles,andalucia,sevilla,147814.0,1423.5
ES,22,2023,8,paisaje naturaleza,actividades,actividades infantiles,aragon,huesca,7150.0,50.0
ES,50,2023,8,paisaje naturaleza,actividades,actividades infantiles,aragon,zaragoza,29397.0,717.0
ES,39,2023,8,paisaje naturaleza,actividades,actividades infantiles,cantabria,cantabria,1782.0,198.0
ES,13,2023,8,paisaje naturaleza,actividades,actividades infantiles,castilla - la mancha,ciudad real,8224.0,2056.0
ES,45,2023,8,paisaje naturaleza,actividades,actividades infantiles,castilla - la mancha,toledo,128799.0,1301.0
ES,09,2023,8,paisaje naturaleza,actividades,actividades infantiles,castilla y leon,burgos,371007.0,1057.0
ES,08,2023,8,paisaje naturaleza,actividades,actividades infantiles,cataluna,barcelona,89107.75,2243.88
ES,17,2023,8,paisaje naturaleza,actividades,actividades infantiles,cataluna,girona,27557.0,1317.0
ES,43,2023,8,paisaje naturaleza,actividades,actividades infantiles,cataluna,tarragona,146090.0,1201.33
ES,28,2023,8,paisaje naturaleza,actividades,actividades infantiles,comunidad de madrid,madrid,64579.0,1776.0
ES,31,2023,8,paisaje naturaleza,actividades,actividades infantiles,comunidad foral de navarra,navarra,99589.5,1230.5
ES,03,2023,8,paisaje naturaleza,actividades,actividades infantiles,comunitat valenciana,alicante/alacant,14736.0,2456.0
ES,46,2023,8,paisaje naturaleza,actividades,actividades infantiles,comunitat valenciana,valencia/valencia,19572.0,656.0
ES,06,2023,8,paisaje naturaleza,actividades,actividades infantiles,extremadura,badajoz,13029.0,756.25
ES,10,2023,8,paisaje naturaleza,actividades,actividades infantiles,extremadura,caceres,6070.5,1671.5
ES,27,2023,8,paisaje naturaleza,actividades,actividades infantiles,galicia,lugo,1155.0,165.0
ES,32,2023,8,paisaje naturaleza,actividades,actividades infantiles,galicia,ourense,2475.0,165.0
ES,07,2023,8,paisaje naturaleza,actividades,actividades infantiles,illes balears,illes balears,71058.75,3479.25
ES,26,2023,8,paisaje naturaleza,actividades,actividades infantiles,la rioja,la rioja,8634.0,783.0
ES,01,2023,8,paisaje naturaleza,actividades,actividades infantiles,pais vasco,araba/alava,26779.0,439.0
