id_municipio,id_municipio_parcial,id_provincia,id_ccaa,nombre
07050929,050929,05,07,Hernansancho
07050935,050935,05,07,Herradón de Pinares
07050940,050940,05,07,Herreros de Suso
07050953,050953,05,07,Higuera de las Dueñas
07050966,050966,05,07,"Hija de Dios, La"
07050972,050972,05,07,"Horcajada, La"
07050991,050991,05,07,Horcajo de las Torres
07051005,051005,05,07,"Hornillo, El"
07051027,051027,05,07,"Hoyo de Pinares, El"
07051012,051012,05,07,Hoyocasero
07051033,051033,05,07,Hoyorredondo
07051064,051064,05,07,Hoyos de Miguel Muñoz
07051048,051048,05,07,Hoyos del Collado
07051051,051051,05,07,Hoyos del Espino
07051070,051070,05,07,Hurtumpascual
07051086,051086,05,07,Junciana
07051099,051099,05,07,Langa
07051103,051103,05,07,Lanzahíta
07051131,051131,05,07,"Llanos de Tormes, Los"
07051125,051125,05,07,"Losar del Barco, El"
07051146,051146,05,07,Madrigal de las Altas Torres
07051159,051159,05,07,Maello
07051162,051162,05,07,Malpartida de Corneja
07051178,051178,05,07,Mamblas
07051184,051184,05,07,Mancera de Arriba
07051197,051197,05,07,Manjabálago y Ortigosa de Rioalmar
07051201,051201,05,07,Marlín
07051218,051218,05,07,Martiherrero
07051223,051223,05,07,Martínez
07051239,051239,05,07,Mediana de Voltoya
07051244,051244,05,07,Medinilla
07051257,051257,05,07,Mengamuñoz
07051260,051260,05,07,Mesegar de Corneja
07051276,051276,05,07,Mijares
07051282,051282,05,07,Mingorría
07051295,051295,05,07,"Mirón, El"
07051309,051309,05,07,Mironcillo
07051316,051316,05,07,Mirueña de los Infanzones
07051321,051321,05,07,Mombeltrán
07051337,051337,05,07,Monsalupe
07051342,051342,05,07,Moraleja de Matacabras
07051355,051355,05,07,Muñana
07051368,051368,05,07,Muñico
07051380,051380,05,07,Muñogalindo
07051393,051393,05,07,Muñogrande
07051407,051407,05,07,Muñomer del Peco
07051414,051414,05,07,Muñopepe
07051429,051429,05,07,Muñosancho
07051435,051435,05,07,Muñotello
07051440,051440,05,07,Narrillos del Álamo
07051453,051453,05,07,Narrillos del Rebollar
07051491,051491,05,07,Narros de Saldueña
