AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;5;Extremadura;Alternativo;46;143;4,14;3,11;0,01;112,3
2023;5;Extremadura;Apartamento;123;492;4,7;4,0;0,02;122,15
2023;5;Extremadura;Casa entera;1266;6859;4,41;5,42;0,18;173,32
2023;5;Extremadura;Habitación compartida;5;14;4,63;2,8;0,0;42,0
2023;5;Extremadura;Habitación privada;213;662;4,52;3,11;0,03;147,02
2023;5;Extremadura;No aplica;0;0;;;0,0;
2023;5;Galicia;Alternativo;378;1569;4,73;4,15;0,02;167,99
2023;5;Galicia;Apartamento;361;1268;4,75;3,51;0,02;137,5
2023;5;Galicia;Casa entera;15177;83825;4,69;5,52;0,86;181,72
2023;5;Galicia;Habitación compartida;36;204;4,79;5,67;0,0;36,97
2023;5;Galicia;Habitación privada;1674;4971;4,67;2,97;0,1;131,95
2023;5;Galicia;No aplica;0;0;;;0,0;
2023;5;Galicia;Otros;3;7;4,74;2,33;0,0;52,67
2023;5;Illes Balears;Alternativo;397;1696;4,71;4,27;0,06;390,61
2023;5;Illes Balears;Apartamento;468;1903;4,67;4,07;0,07;306,35
2023;5;Illes Balears;Casa entera;22030;143377;4,69;6,51;3,38;726,69
2023;5;Illes Balears;Habitación compartida;5;12;2,86;2,4;0,0;2093,4
2023;5;Illes Balears;Habitación privada;1978;5469;4,65;2,76;0,3;298,43
2023;5;Illes Balears;No aplica;0;0;;;0,0;
2023;5;La Rioja;Alternativo;14;88;4,43;6,29;0,01;221,57
2023;5;La Rioja;Apartamento;56;237;4,73;4,23;0,03;125,25
2023;5;La Rioja;Casa entera;1064;6259;4,48;5,88;0,52;167,94
2023;5;La Rioja;Habitación privada;100;343;4,79;3,43;0,05;99,55
2023;5;La Rioja;No aplica;0;0;;;0,0;
2023;5;Melilla;Alternativo;1;1;4,89;1,0;0,0;93,0
2023;5;Melilla;Apartamento;3;13;4,82;4,33;0,01;85,33
2023;5;Melilla;Casa entera;43;197;3,44;4,58;0,15;102,0
2023;5;Melilla;Habitación privada;5;10;4,77;2,0;0,02;58,0
2023;5;Melilla;No aplica;0;0;;;0,0;
2023;5;País Vasco;Alternativo;75;358;4,76;4,77;0,01;218,73
2023;5;País Vasco;Apartamento;104;362;4,74;3,48;0,01;130,47
2023;5;País Vasco;Casa entera;3677;17951;4,57;4,88;0,34;228,83
2023;5;País Vasco;Habitación compartida;19;30;4,7;1,58;0,0;35,37
2023;5;País Vasco;Habitación privada;1098;2993;4,67;2,73;0,1;98,48
2023;5;País Vasco;No aplica;0;0;;;0,0;
2023;5;País Vasco;Otros;1;5;4,85;5,0;0,0;196,0
2023;5;Principado de Asturias;Alternativo;98;367;4,76;3,74;0,01;164,98
2023;5;Principado de Asturias;Apartamento;167;598;4,75;3,58;0,02;115,54
2023;5;Principado de Asturias;Casa entera;6135;31878;4,68;5,2;0,91;196,9
