_id,mes,empresa,tipo_de_servicio,tipo_de_producto,trayecto,precio
271,2023-12,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,62.05000
272,2023-12,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,62.53000
273,2023-12,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,41.39000
274,2023-12,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,30.45000
275,2023-12,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,50.11000
276,2023-12,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,49.79000
277,2023-12,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,43.02000
278,2023-12,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,25.70000
279,2023-12,Total,Comercial,LD AV,Madrid-Alicante,41.37000
280,2023-12,Total,Comercial,LD AV,Madrid-Barcelona,56.54000
281,2023-12,Total,Comercial,LD AV,Madrid-Málaga,57.54000
282,2023-12,Total,Comercial,LD AV,Madrid-Sevilla,58.55000
283,2023-12,Total,Comercial,LD AV,Madrid-Valencia,32.95000
284,2024-01,Iryo,Comercial,LD AV,Madrid-Alicante,24.41000
285,2024-01,Iryo,Comercial,LD AV,Madrid-Barcelona,36.94000
286,2024-01,Iryo,Comercial,LD AV,Madrid-Málaga,33.67000
287,2024-01,Iryo,Comercial,LD AV,Madrid-Sevilla,37.39000
288,2024-01,Iryo,Comercial,LD AV,Madrid-Valencia,19.99000
289,2024-01,OUIGO,Comercial,LD AV,Madrid-Alicante,21.30000
290,2024-01,OUIGO,Comercial,LD AV,Madrid-Barcelona,29.71000
291,2024-01,OUIGO,Comercial,LD AV,Madrid-Valencia,18.01000
292,2024-01,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,43.86000
293,2024-01,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,54.94000
294,2024-01,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,44.91000
295,2024-01,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,45.93000
296,2024-01,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,35.15000
297,2024-01,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,20.24000
298,2024-01,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,34.94000
299,2024-01,Renfe-AVLO,Comercial,LD AV,Madrid-Málaga,32.29000
300,2024-01,Renfe-AVLO,Comercial,LD AV,Madrid-Sevilla,30.07000
301,2024-01,Renfe-AVLO,Comercial,LD AV,Madrid-Valencia,18.47000
302,2024-01,Total,Comercial,LD AV,Madrid-Alicante,35.54000
303,2024-01,Total,Comercial,LD AV,Madrid-Barcelona,44.04000
304,2024-01,Total,Comercial,LD AV,Madrid-Málaga,40.86000
305,2024-01,Total,Comercial,LD AV,Madrid-Sevilla,42.62000
306,2024-01,Total,Comercial,LD AV,Madrid-Valencia,25.64000
307,2024-02,Iryo,Comercial,LD AV,Madrid-Alicante,28.79000
308,2024-02,Iryo,Comercial,LD AV,Madrid-Barcelona,42.18000
309,2024-02,Iryo,Comercial,LD AV,Madrid-Málaga,37.94000
310,2024-02,Iryo,Comercial,LD AV,Madrid-Sevilla,43.36000
311,2024-02,Iryo,Comercial,LD AV,Madrid-Valencia,20.50000
312,2024-02,OUIGO,Comercial,LD AV,Madrid-Alicante,21.22000
313,2024-02,OUIGO,Comercial,LD AV,Madrid-Barcelona,34.08000
314,2024-02,OUIGO,Comercial,LD AV,Madrid-Valencia,18.54000
315,2024-02,Renfe-AVE,Comercial,LD AV,Madrid-Alicante,41.23000
316,2024-02,Renfe-AVE,Comercial,LD AV,Madrid-Barcelona,65.56000
317,2024-02,Renfe-AVE,Comercial,LD AV,Madrid-Málaga,43.49000
318,2024-02,Renfe-AVE,Comercial,LD AV,Madrid-Sevilla,51.24000
319,2024-02,Renfe-AVE,Comercial,LD AV,Madrid-Valencia,33.27000
320,2024-02,Renfe-AVLO,Comercial,LD AV,Madrid-Alicante,20.38000
321,2024-02,Renfe-AVLO,Comercial,LD AV,Madrid-Barcelona,37.95000
