CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Paisaje Urbano;Andalucía;Granada;4,31;302757;4,37
Paisaje Urbano;Andalucía;Huelva;4,0;21792;4,11
Paisaje Urbano;Andalucía;Jaén;4,3;39458;4,33
Paisaje Urbano;Andalucía;Málaga;4,28;288484;4,43
Paisaje Urbano;Andalucía;Sevilla;4,47;426526;4,34
Paisaje Urbano;Aragón;Huesca;4,0;25096;4,25
Paisaje Urbano;Aragón;Teruel;4,25;24912;4,28
Paisaje Urbano;Aragón;Zaragoza;4,15;90753;4,21
Paisaje Urbano;Canarias;Las Palmas;3,97;37421;4,28
Paisaje Urbano;Canarias;Santa Cruz de Tenerife;4,05;28742;4,26
Paisaje Urbano;Cantabria;Cantabria;4,25;50502;4,27
Paisaje Urbano;Castilla - La Mancha;Albacete;4,08;8463;4,15
Paisaje Urbano;Castilla - La Mancha;Ciudad Real;4,08;14299;4,29
Paisaje Urbano;Castilla - La Mancha;Cuenca;3,93;28012;4,19
Paisaje Urbano;Castilla - La Mancha;Guadalajara;3,98;15235;4,04
Paisaje Urbano;Castilla - La Mancha;Toledo;4,02;109087;4,18
Paisaje Urbano;Castilla y León;Burgos;4,19;42895;4,28
Paisaje Urbano;Castilla y León;León;4,09;49276;4,21
Paisaje Urbano;Castilla y León;Palencia;4,26;11153;4,35
Paisaje Urbano;Castilla y León;Salamanca;4,03;83489;4,17
Paisaje Urbano;Castilla y León;Segovia;3,94;59220;4,07
Paisaje Urbano;Castilla y León;Soria;3,83;17704;3,97
Paisaje Urbano;Castilla y León;Valladolid;3,79;26101;4,06
Paisaje Urbano;Castilla y León;Zamora;3,99;15589;4,17
Paisaje Urbano;Castilla y León;Ávila;4,04;37842;4,23
Paisaje Urbano;Cataluña;Barcelona;3,87;1398508;4,05
Paisaje Urbano;Cataluña;Girona;4,11;104061;4,24
Paisaje Urbano;Cataluña;Lleida;4,1;12157;4,27
Paisaje Urbano;Cataluña;Tarragona;3,93;59130;4,2
Paisaje Urbano;Comunidad Foral de Navarra;Navarra;4,15;34989;4,23
Paisaje Urbano;Comunidad de Madrid;Madrid;3,95;532540;4,1
Paisaje Urbano;Comunitat Valenciana;Alicante/Alacant;4,1;121960;4,28
Paisaje Urbano;Comunitat Valenciana;Castellón/Castelló;4,09;29625;4,2
Paisaje Urbano;Comunitat Valenciana;Valencia/València;4,17;168637;4,15
Paisaje Urbano;Extremadura;Badajoz;4,24;45977;4,29
Paisaje Urbano;Extremadura;Cáceres;4,19;38255;4,33
Paisaje Urbano;Galicia;A Coruña;4,15;116722;4,21
Paisaje Urbano;Galicia;Lugo;4,05;20683;4,28
