mes,categoria_alojamiento,periodo_antelacion,valoraciones_norm,tiene_valoraciones,tipo_dia,precio
6,hotel 3 estrellas,3 meses,4.2905,True,semana,78.0
6,hotel 4 estrellas,1 mes,4.223,True,semana,99.0
6,hotel 4 estrellas,1 semana,4.223,True,semana,96.67
6,hotel 4 estrellas,2 semanas,4.223,True,semana,96.67
6,hotel 4 estrellas,3 meses,4.223,True,semana,103.33
6,hotel 5 estrellas,1 mes,4.021,True,semana,190.33
6,hotel 5 estrellas,1 semana,4.021,True,semana,209.67
6,hotel 5 estrellas,2 semanas,4.021,True,semana,201.33
6,hotel 5 estrellas,3 meses,4.021,True,semana,190.67
7,hotel 3 estrellas,1 mes,4.457,True,semana,61.33
7,hotel 3 estrellas,1 semana,4.457,True,semana,60.33
7,hotel 3 estrellas,2 semanas,4.457,True,semana,60.67
7,hotel 3 estrellas,3 meses,4.457,True,semana,63.33
7,hotel 4 estrellas,1 mes,4.3725000000000005,True,semana,77.67
7,hotel 4 estrellas,1 semana,4.3725000000000005,True,semana,76.0
7,hotel 4 estrellas,2 semanas,4.3725000000000005,True,semana,76.33
7,hotel 4 estrellas,3 meses,4.3725000000000005,True,semana,79.0
7,hotel 5 estrellas,1 mes,4.593500000000001,True,semana,157.67
7,hotel 5 estrellas,1 semana,4.593500000000001,True,semana,149.0
7,hotel 5 estrellas,2 semanas,4.593500000000001,True,semana,157.0
7,hotel 5 estrellas,3 meses,4.593500000000001,True,semana,145.33
8,hotel 3 estrellas,1 mes,4.279999999999999,True,semana,62.33
8,hotel 3 estrellas,1 semana,4.279999999999999,True,semana,61.0
8,hotel 3 estrellas,2 semanas,4.279999999999999,True,semana,61.67
8,hotel 3 estrellas,3 meses,4.279999999999999,True,semana,65.33
8,hotel 4 estrellas,1 mes,4.2865,True,semana,79.0
8,hotel 4 estrellas,1 semana,4.2865,True,semana,78.0
8,hotel 4 estrellas,2 semanas,4.2865,True,semana,77.67
8,hotel 4 estrellas,3 meses,4.2865,True,semana,81.33
8,hotel 5 estrellas,1 mes,4.451,True,semana,154.0
8,hotel 5 estrellas,1 semana,4.451,True,semana,142.0
8,hotel 5 estrellas,2 semanas,4.451,True,semana,155.0
8,hotel 5 estrellas,3 meses,4.451,True,semana,139.33
9,hotel 3 estrellas,1 mes,4.309,True,semana,90.0
9,hotel 3 estrellas,1 semana,4.309,True,semana,79.33
9,hotel 3 estrellas,2 semanas,4.309,True,semana,86.33
9,hotel 3 estrellas,3 meses,4.309,True,semana,91.67
9,hotel 4 estrellas,1 mes,4.2665,True,semana,120.33
9,hotel 4 estrellas,1 semana,4.2665,True,semana,107.33
9,hotel 4 estrellas,2 semanas,4.2665,True,semana,114.0
9,hotel 4 estrellas,3 meses,4.2665,True,semana,123.0
9,hotel 5 estrellas,1 mes,3.999,True,semana,222.0
9,hotel 5 estrellas,1 semana,3.999,True,semana,166.0
9,hotel 5 estrellas,2 semanas,3.999,True,semana,185.33
9,hotel 5 estrellas,3 meses,3.999,True,semana,202.0
10,hotel 3 estrellas,1 mes,3.878,True,semana,94.33
10,hotel 3 estrellas,1 semana,3.878,True,semana,92.33
10,hotel 3 estrellas,2 semanas,3.878,True,semana,93.0
10,hotel 3 estrellas,3 meses,3.878,True,semana,99.0
10,hotel 4 estrellas,1 mes,4.0465,True,semana,127.0
10,hotel 4 estrellas,1 semana,4.0465,True,semana,123.67
10,hotel 4 estrellas,2 semanas,4.0465,True,semana,123.0
10,hotel 4 estrellas,3 meses,4.0465,True,semana,135.33
10,hotel 5 estrellas,1 mes,3.9445,True,semana,217.33
10,hotel 5 estrellas,1 semana,3.9445,True,semana,199.33
10,hotel 5 estrellas,2 semanas,3.9445,True,semana,192.33
10,hotel 5 estrellas,3 meses,3.9445,True,semana,214.0
11,hotel 3 estrellas,1 mes,3.9095,True,semana,74.67
11,hotel 3 estrellas,1 semana,3.9095,True,semana,72.67
11,hotel 3 estrellas,2 semanas,3.9095,True,semana,74.0
11,hotel 3 estrellas,3 meses,3.9095,True,semana,75.0
11,hotel 4 estrellas,1 mes,4.049,True,semana,96.33
11,hotel 4 estrellas,1 semana,4.049,True,semana,95.67
11,hotel 4 estrellas,2 semanas,4.049,True,semana,97.0
11,hotel 4 estrellas,3 meses,4.049,True,semana,99.0
11,hotel 5 estrellas,1 mes,3.9955,True,semana,171.0
