id_pais,id_provincia,provincia_nombre,mes,categoria,subcategoria,valoracion_general_promedio,total_opiniones_categoria_promedio,precio_medio_entrada_promedio,gasto_total_promedio
ES,31,navarra,1,vida nocturna,musicales,4.23,2565,1409.00,87358.00
ES,03,alicante/alacant,1,vida nocturna,musicales,4.28,84389,785.60,333239.20
ES,46,valencia/valència,1,vida nocturna,musicales,4.15,9307,1021.67,635490.33
ES,06,badajoz,1,vida nocturna,musicales,4.29,2109,1054.00,372445.50
ES,10,cáceres,1,vida nocturna,musicales,4.33,1377,1500.00,216526.25
ES,15,a coruña,1,vida nocturna,musicales,4.21,5653,722.00,28158.00
ES,32,ourense,1,vida nocturna,musicales,4.15,660,220.00,660.00
ES,36,pontevedra,1,vida nocturna,musicales,4.17,3092,501.50,2970.50
ES,07,illes balears,1,vida nocturna,musicales,4.33,122452,1062.40,113430.40
ES,26,la rioja,1,vida nocturna,musicales,4.31,1866,1571.00,43988.00
ES,33,asturias,1,vida nocturna,musicales,4.35,9626,994.50,30565.50
ES,30,murcia,1,vida nocturna,musicales,4.20,1488,789.25,95856.25
ES,04,almería,2,paisaje naturaleza,actividades infantiles,4.19,23376,1296.50,18230.50
ES,11,cádiz,2,paisaje naturaleza,actividades infantiles,4.26,12350,2023.33,188341.00
ES,14,córdoba,2,paisaje naturaleza,actividades infantiles,4.29,3767,603.00,28638.00
ES,18,granada,2,paisaje naturaleza,actividades infantiles,4.37,18492,1626.40,124786.80
ES,23,jaén,2,paisaje naturaleza,actividades infantiles,4.33,4366,270.00,540.00
ES,29,málaga,2,paisaje naturaleza,actividades infantiles,4.43,109648,568.57,45372.43
ES,41,sevilla,2,paisaje naturaleza,actividades infantiles,4.34,21476,1474.40,37816.80
ES,22,huesca,2,paisaje naturaleza,actividades infantiles,4.25,17445,394.00,55554.00
ES,50,zaragoza,2,paisaje naturaleza,actividades infantiles,4.21,5888,775.00,1390040.00
ES,35,las palmas,2,paisaje naturaleza,actividades infantiles,4.28,200378,134.00,5904.29
ES,38,santa cruz de tenerife,2,paisaje naturaleza,actividades infantiles,4.26,190067,325.40,22234.80
ES,39,cantabria,2,paisaje naturaleza,actividades infantiles,4.27,37946,251.67,9124.67
ES,02,albacete,2,paisaje naturaleza,actividades infantiles,4.15,3169,444.00,115640.00
ES,45,toledo,2,paisaje naturaleza,actividades infantiles,4.18,1715,1674.75,52445.50
ES,05,ávila,2,paisaje naturaleza,actividades infantiles,4.23,1874,1012.00,23276.00
ES,24,león,2,paisaje naturaleza,actividades infantiles,4.21,4506,1565.00,23866.00
ES,37,salamanca,2,paisaje naturaleza,actividades infantiles,4.17,3319,1959.00,25467.00
ES,42,soria,2,paisaje naturaleza,actividades infantiles,3.97,2792,1391.00,70941.00
ES,47,valladolid,2,paisaje naturaleza,actividades infantiles,4.06,8696,680.40,1435008.60
ES,49,zamora,2,paisaje naturaleza,actividades infantiles,4.17,2116,247.00,55081.00
ES,08,barcelona,2,paisaje naturaleza,actividades infantiles,4.05,200444,1600.45,328391.25
ES,17,girona,2,paisaje naturaleza,actividades infantiles,4.24,61683,397.71,9543.86
ES,43,tarragona,2,paisaje naturaleza,actividades infantiles,4.20,33701,1939.75,361829.00
ES,28,madrid,2,paisaje naturaleza,actividades infantiles,4.10,121795,746.22,148559.44
ES,31,navarra,2,paisaje naturaleza,actividades infantiles,4.23,7007,3168.50,1729619.50
ES,03,alicante/alacant,2,paisaje naturaleza,actividades infantiles,4.28,82424,895.25,13989.00
ES,46,valencia/valència,2,paisaje naturaleza,actividades infantiles,4.15,90776,688.67,582096.00
ES,06,badajoz,2,paisaje naturaleza,actividades infantiles,4.29,1116,401.67,18399.67
ES,10,cáceres,2,paisaje naturaleza,actividades infantiles,4.33,5814,803.50,105374.75
ES,15,a coruña,2,paisaje naturaleza,actividades infantiles,4.21,18974,663.00,9957.75
ES,27,lugo,2,paisaje naturaleza,actividades infantiles,4.28,8089,890.00,160290.00
ES,07,illes balears,2,paisaje naturaleza,actividades infantiles,4.33,203636,979.80,104006.30
ES,01,araba/álava,2,paisaje naturaleza,actividades infantiles,4.41,11468,315.40,7611.80
ES,48,bizkaia,2,paisaje naturaleza,actividades infantiles,4.31,7925,4085.83,298609.50
ES,20,gipuzkoa,2,paisaje naturaleza,actividades infantiles,4.41,26976,246.25,23771.25
ES,33,asturias,2,paisaje naturaleza,actividades infantiles,4.35,44006,1065.00,26799.00
ES,30,murcia,2,paisaje naturaleza,actividades infantiles,4.20,2633,448.00,19267.50
ES,11,cádiz,2,servicios,cursos,4.26,39,638.50,9447.50
ES,29,málaga,2,servicios,cursos,4.43,51898,1309.67,21325.67
ES,41,sevilla,2,servicios,cursos,4.34,4859,125.00,1100.00
ES,50,zaragoza,2,servicios,cursos,4.21,61,2947.00,2947.00
ES,35,las palmas,2,servicios,cursos,4.28,2863,684.33,6226.00
ES,38,santa cruz de tenerife,2,servicios,cursos,4.26,3753,3513.67,9841.67
ES,39,cantabria,2,servicios,cursos,4.27,4877,1300.00,2600.00
ES,47,valladolid,2,servicios,cursos,4.06,292,415.00,6885.00
ES,08,barcelona,2,servicios,cursos,4.05,159935,1429.56,137072.00
ES,17,girona,2,servicios,cursos,4.24,1146,1580.33,31073.67
ES,28,madrid,2,servicios,cursos,4.10,42370,3190.50,233708.50
ES,29,málaga,3,servicios,cursos,4.43,51898,6930.00,570699.00
ES,03,alicante/alacant,2,servicios,cursos,4.28,29657,8979.50,190297.00
ES,46,valencia/valència,2,servicios,cursos,4.15,7124,210.00,420.00
ES,15,a coruña,2,servicios,cursos,4.21,605,152.00,3192.00
ES,36,pontevedra,2,servicios,cursos,4.17,1424,1030.00,1030.00
ES,07,illes balears,2,servicios,cursos,4.33,46354,6330.67,1012464.67
ES,48,bizkaia,2,servicios,cursos,4.31,13509,3609.00,18270.00
ES,20,gipuzkoa,2,servicios,cursos,4.41,140,908.00,6814.00
ES,33,asturias,2,servicios,cursos,4.35,2389,10889.50,150178.00
ES,30,murcia,2,servicios,cursos,4.20,6,4614.75,312953.50
ES,11,cádiz,2,paisaje naturaleza,deportes y aventuras,4.26,12350,1595.00,4466.00
ES,29,málaga,2,paisaje naturaleza,deportes y aventuras,4.43,109648,2134.00,7469.00
ES,41,sevilla,2,paisaje naturaleza,deportes y aventuras,4.34,21476,524.33,11848.00
ES,50,zaragoza,2,paisaje naturaleza,deportes y aventuras,4.21,5888,1781.00,314616.50
ES,35,las palmas,2,paisaje naturaleza,deportes y aventuras,4.28,200378,373.67,3686.00
ES,38,santa cruz de tenerife,2,paisaje naturaleza,deportes y aventuras,4.26,190067,688.50,2065.50
ES,19,guadalajara,2,paisaje naturaleza,deportes y aventuras,4.04,1303,1102.50,15552.50
ES,37,salamanca,2,paisaje naturaleza,deportes y aventuras,4.17,3319,40.00,880.00
