id_ccaa,id_provincia,mes,temporada_cod,categoria_cod,subcategoria_cod,valoracion_general_promedio,valoracion_por_categoria_promedio,log_opiniones,log_precio
1,41,1,1,6,1,4.34,4.05,10.572700582800442,6.182084906716632
2,50,1,1,6,1,4.21,3.75,7.387090235656757,6.008198746099147
5,38,1,1,6,1,4.26,4.06,11.045670055905612,6.305362461690656
8,2,1,1,6,1,4.15,4.21,6.352629396319567,6.593044534142437
8,16,1,1,6,1,4.19,3.91,6.634633357861686,3.912023005428146
8,45,1,1,6,1,4.18,3.99,6.075346031088684,6.3784261836515865
7,47,1,1,6,1,4.06,4.01,7.165493475060845,6.423246963533519
9,8,1,1,6,1,4.05,3.95,11.693111409633762,6.42648845745769
9,17,1,1,6,1,4.24,3.8,9.46164368908425,5.289932310013596
13,28,1,1,6,1,4.1,3.85,11.51722620352192,6.9985096422506015
10,3,1,1,6,1,4.28,4.03,11.343204190152012,6.515082992672725
10,46,1,1,6,1,4.15,3.72,9.138629524422182,4.7535901911063645
12,15,1,1,6,1,4.21,3.74,8.640118538253535,7.596141142440372
4,7,1,1,6,1,4.33,4.12,11.715482561876033,5.782593655080491
16,20,1,1,6,1,4.41,4.14,8.61323037961318,5.8907321938538395
14,30,1,1,6,1,4.2,3.62,7.305860032684009,5.860786223465865
1,14,1,1,2,2,4.29,4.46,6.171700597410915,5.303304908059076
1,29,1,1,2,2,4.43,4.25,7.053585727193677,6.493753839851686
2,50,1,1,2,2,4.21,3.75,5.0689042022202315,5.993961427306569
7,47,1,1,2,2,4.06,4.45,4.430816798843313,6.267200548541362
9,8,1,1,2,2,4.05,3.9,7.61085279039525,6.0844994130751715
9,43,1,1,2,2,4.2,4.01,7.478734825567875,8.21851757748959
13,28,1,1,2,2,4.1,3.97,7.393263094763838,8.547592417102074
15,31,1,1,2,2,4.23,4.27,6.2166061010848646,8.389132521348719
10,3,1,1,2,2,4.28,4.26,5.973809611869261,6.220590170099739
12,15,1,1,2,2,4.21,4.09,5.303304908059076,7.906547232368036
4,7,1,1,2,2,4.33,4.21,5.6937321388027,8.011796139587927
16,48,1,1,2,2,4.31,4.87,6.678342114654332,3.9318256327243257
1,4,1,1,4,3,4.19,4.25,9.569342605674006,7.033506484287697
1,11,1,1,4,3,4.26,4.35,9.083642718930225,7.509411975403119
1,14,1,1,4,3,4.29,4.3,11.45065636674335,6.821467276657592
1,18,1,1,4,3,4.37,4.35,11.938474206640247,6.866308089067964
1,21,1,1,4,3,4.11,4.23,9.208839245849916,6.214608098422191
1,23,1,1,4,3,4.33,4.3,9.695047867587114,6.889591308354466
1,29,1,1,4,3,4.43,4.43,11.971956616148274,6.815201297371529
1,41,1,1,4,3,4.34,4.41,12.293533921300169,7.754159883392125
2,22,1,1,4,3,4.25,4.12,9.29807648628027,6.257035204062087
2,50,1,1,4,3,4.21,4.34,10.629900249210682,6.882581050433417
5,35,1,1,4,3,4.28,4.27,10.847315627403372,6.799891633106192
5,38,1,1,4,3,4.26,4.28,11.106234605936246,6.932935577512436
6,39,1,1,4,3,4.27,4.28,10.222232150439726,7.038783541388542
8,2,1,1,4,3,4.15,4.09,8.20631072579402,6.515941565126805
8,13,1,1,4,3,4.29,4.33,8.891098830616636,6.5092608193547745
8,16,1,1,4,3,4.19,4.27,9.530392824458414,6.946495107298068
8,45,1,1,4,3,4.18,4.19,10.9289913693836,6.305545093414294
7,5,1,1,4,3,4.23,4.42,9.503606822721864,3.9318256327243257
7,9,1,1,4,3,4.28,4.35,9.892274925322026,4.189654742026425
7,24,1,1,4,3,4.21,4.22,9.86110183603969,5.62040086571715
7,37,1,1,4,3,4.17,4.24,10.37264707562448,6.377406988727283
7,42,1,1,4,3,3.97,4.17,8.748463629942055,5.111987788356544
7,47,1,1,4,3,4.06,4.14,9.524859098381523,6.808708125380903
7,49,1,1,4,3,4.17,4.19,8.67812085552252,6.162261618049983
9,8,1,1,4,3,4.05,4.07,13.503646442559258,6.760078597530363
9,17,1,1,4,3,4.24,4.24,10.837932494990325,5.653506206781466
9,25,1,1,4,3,4.27,4.29,8.877939834725023,6.20050917404269
9,43,1,1,4,3,4.2,4.23,10.886314808210527,6.943547043080194
18,51,1,1,4,3,0.0,0.0,0.0,7.627544390488503
13,28,1,1,4,3,4.1,4.15,13.035643594260717,6.471650534741861
15,31,1,1,4,3,4.23,4.25,9.887408982323437,6.631342798788587
10,3,1,1,4,3,4.28,4.28,11.125629297477385,6.768585161444106
10,12,1,1,4,3,4.2,4.14,9.488956472414216,3.4339872044851463
10,46,1,1,4,3,4.15,4.25,11.648382502350232,7.054820919086165
11,6,1,1,4,3,4.29,4.26,9.817330356084954,6.577402281568945
11,10,1,1,4,3,4.33,4.31,10.065393794379148,6.933423025730715
12,15,1,1,4,3,4.21,4.26,10.823750385162683,6.343880434126331
12,27,1,1,4,3,4.28,4.33,9.090768236835338,7.3987862754199485
12,32,1,1,4,3,4.15,4.18,8.778941881841513,5.3981627015177525
12,36,1,1,4,3,4.17,4.07,9.67363403969682,6.04381977744191
4,7,1,1,4,3,4.33,4.21,11.584492354162721,6.636169627917047
17,26,1,1,4,3,4.31,4.29,9.349580439067687,6.632436465513755
16,1,1,1,4,3,4.41,4.46,8.96341629199657,6.2675230771685735
16,48,1,1,4,3,4.31,4.38,10.940685324169365,7.086018612315238
16,20,1,1,4,3,4.41,4.43,10.201738576337144,6.45833828334479
3,33,1,1,4,3,4.35,4.37,10.615530086198365,6.880640986490565
14,30,1,1,4,3,4.2,4.32,9.13873695311649,6.6684823457380435
13,28,1,1,1,6,4.1,3.83,11.405306846159862,7.84971375760487
10,3,1,1,1,6,4.28,4.22,9.439704535103449,6.807934943699926
4,7,1,1,1,6,4.33,4.17,10.00676590198963,7.558516743045645
16,48,1,1,1,6,4.31,3.8,6.543911845564792,3.9318256327243257
1,21,1,1,4,8,4.11,4.23,9.208839245849916,6.214608098422191
1,41,1,1,4,8,4.34,4.41,12.293533921300169,6.8065527734729745
8,2,1,1,4,8,4.15,4.09,8.20631072579402,6.565264970035361
8,45,1,1,4,8,4.18,4.19,10.9289913693836,6.519147287940395
9,8,1,1,4,8,4.05,4.07,13.503646442559258,7.198557478770161
9,43,1,1,4,8,4.2,4.23,10.886314808210527,7.571216149171722
13,28,1,1,4,8,4.1,4.15,13.035643594260717,6.822741904655181
10,46,1,1,4,8,4.15,4.25,11.648382502350232,6.538617278508967
4,7,1,1,4,8,4.33,4.21,11.584492354162721,6.977281341630747
16,48,1,1,4,8,4.31,4.38,10.940685324169365,6.928537818164665
1,4,1,1,6,9,4.19,3.72,8.587278798982926,7.395721608602045
1,11,1,1,6,9,4.26,4.08,7.759614150696903,6.964683666368029
1,14,1,1,6,9,4.29,4.3,7.554334823725748,6.815091594118718
1,18,1,1,6,9,4.37,3.92,9.296609807128359,6.905131840775423
1,21,1,1,6,9,4.11,4.03,7.392647520721623,4.7318028369214575
1,23,1,1,6,9,4.33,4.0,6.900730664045173,6.626717749249025
1,29,1,1,6,9,4.43,4.3,10.933767465827414,7.255117998434523
1,41,1,1,6,9,4.34,4.05,10.572700582800442,6.999650543686393
2,22,1,1,6,9,4.25,3.85,7.165493475060845,7.133495456143613
2,44,1,1,6,9,4.28,4.35,6.85751406254539,6.759255270663693
2,50,1,1,6,9,4.21,3.75,7.387090235656757,7.073608643068784
5,35,1,1,6,9,4.28,4.24,11.771783590108432,7.3474929810323975
