id_provincia,mes,categoria,precio_mediano_n1
11,4,paisaje naturaleza,2400.0
11,4,vida nocturna,1187.29
11,5,comida y bebida,4023.5
11,5,paisaje naturaleza,849.0
11,5,paisaje urbano,806.36
11,5,servicios,2683.5
11,5,vida nocturna,1009.3
11,6,comida y bebida,2684.0
11,6,paisaje naturaleza,633.75
11,6,paisaje urbano,2180.86
11,6,vida nocturna,1011.2
11,7,comida y bebida,3204.86
11,7,paisaje naturaleza,726.415
11,7,paisaje urbano,1007.1
11,7,vida nocturna,1038.79
11,8,comida y bebida,2983.8
11,8,paisaje urbano,1336.0
11,8,servicios,150.0
11,8,vida nocturna,869.16
11,9,comida y bebida,788.33
11,9,paisaje naturaleza,1136.0
11,9,paisaje urbano,1064.22
11,9,vida nocturna,1912.0
11,10,comida y bebida,100.0
11,10,compras,300.0
11,10,otros,200.0
11,10,paisaje naturaleza,1442.975
11,10,servicios,9286.0
11,10,vida nocturna,1098.29
11,11,comida y bebida,660.5
11,11,compras,2044.0
11,11,otros,1072.0
11,11,paisaje naturaleza,1018.0
11,11,servicios,1200.0
11,11,vida nocturna,469.0
11,12,comida y bebida,1005.0
11,12,paisaje naturaleza,1609.67
11,12,paisaje urbano,1324.0
11,12,vida nocturna,1250.2150000000001
12,1,paisaje urbano,30.0
12,1,vida nocturna,1122.0
12,2,otros,1001.0
12,2,vida nocturna,1494.33
12,3,otros,100.0
12,3,paisaje naturaleza,120.0
12,3,paisaje urbano,859.0
12,3,vida nocturna,1024.33
12,4,paisaje naturaleza,1485.0
12,4,paisaje urbano,652.75
12,4,vida nocturna,568.0
12,5,paisaje naturaleza,1358.0
12,5,paisaje urbano,608.0
12,6,comida y bebida,967.0
12,6,paisaje urbano,85.5
12,6,vida nocturna,1640.09
12,7,paisaje naturaleza,1564.0
12,7,vida nocturna,1437.0
12,8,comida y bebida,504.0
12,8,paisaje naturaleza,1765.0
12,8,paisaje urbano,140.0
12,8,vida nocturna,1484.14
12,9,paisaje naturaleza,165.0
12,9,vida nocturna,1099.6
12,10,paisaje naturaleza,162.5
12,10,paisaje urbano,938.67
12,10,vida nocturna,577.7850000000001
12,11,paisaje naturaleza,1269.665
12,11,paisaje urbano,1737.0
12,11,vida nocturna,713.57
12,12,paisaje naturaleza,1975.25
12,12,paisaje urbano,989.5
12,12,vida nocturna,927.6
13,1,paisaje urbano,670.33
13,1,vida nocturna,1088.57
13,2,paisaje urbano,930.75
13,2,vida nocturna,1220.67
13,3,paisaje urbano,1175.33
13,3,vida nocturna,922.57
13,4,compras,16335.0
13,4,otros,16335.0
13,4,paisaje naturaleza,130.0
13,4,paisaje urbano,951.5
13,4,vida nocturna,1140.0
13,5,compras,14659.0
13,5,otros,14659.0
13,5,paisaje naturaleza,693.0
13,5,paisaje urbano,1256.0
13,5,vida nocturna,994.44
13,6,compras,14117.0
13,6,paisaje urbano,1762.0
13,6,vida nocturna,766.29
13,7,compras,172.0
13,7,otros,172.0
13,7,paisaje naturaleza,1345.33
13,7,paisaje urbano,1107.0
13,7,vida nocturna,1346.64
13,8,compras,1863.0
13,8,paisaje naturaleza,2056.0
13,8,paisaje urbano,1405.5
13,8,vida nocturna,1063.38
13,9,compras,1732.0
13,9,otros,1732.0
13,9,paisaje naturaleza,849.0
13,9,paisaje urbano,663.0
13,9,vida nocturna,984.575
13,10,compras,2031.0
13,10,otros,2881.67
13,10,paisaje naturaleza,661.0
13,10,paisaje urbano,1774.0
13,10,vida nocturna,921.62
13,11,compras,451.0
13,11,paisaje naturaleza,1180.5
13,11,paisaje urbano,652.0
13,11,vida nocturna,889.75
13,12,otros,16585.0
13,12,paisaje naturaleza,541.0
13,12,vida nocturna,1004.0
14,1,otros,200.0
14,1,paisaje naturaleza,1044.5
14,1,paisaje urbano,916.33
14,1,vida nocturna,1969.0
14,2,paisaje naturaleza,603.0
14,2,paisaje urbano,968.2
14,2,vida nocturna,631.0
14,3,otros,100.0
14,3,paisaje naturaleza,1016.5
14,3,paisaje urbano,1196.4
14,3,vida nocturna,542.0
14,4,otros,775.0
14,4,paisaje naturaleza,88.0
14,4,paisaje urbano,761.5
14,4,servicios,105.0
14,4,vida nocturna,818.6
14,5,paisaje urbano,783.5
14,5,vida nocturna,865.415
14,6,otros,55.0
14,6,paisaje naturaleza,58.0
14,6,vida nocturna,1505.5
14,7,paisaje naturaleza,1213.5
14,7,vida nocturna,1450.73
14,8,paisaje naturaleza,986.165
14,8,paisaje urbano,1439.0
14,8,vida nocturna,1133.725
14,9,paisaje urbano,1363.33
14,9,vida nocturna,1093.945
14,10,paisaje naturaleza,1467.0
14,10,paisaje urbano,1379.0
14,10,vida nocturna,845.835
14,11,paisaje naturaleza,1015.33
14,11,paisaje urbano,975.4
14,11,vida nocturna,871.4449999999999
14,12,paisaje naturaleza,459.33
14,12,paisaje urbano,1009.67
14,12,vida nocturna,1241.5
15,1,otros,2714.0
15,1,paisaje naturaleza,480.33
15,1,paisaje urbano,568.0
15,1,servicios,1167.0
15,1,vida nocturna,1355.75
15,2,otros,340.0
15,2,paisaje naturaleza,835.5
15,2,paisaje urbano,883.67
15,2,vida nocturna,386.0
15,3,paisaje naturaleza,494.25
15,3,paisaje urbano,579.67
15,3,servicios,183.0
15,3,vida nocturna,1043.35
15,4,paisaje naturaleza,673.0
15,4,paisaje urbano,364.0
15,4,servicios,200.0
15,4,vida nocturna,1150.75
15,5,comida y bebida,1075.0
15,5,paisaje naturaleza,796.5
15,5,servicios,115.0
15,5,vida nocturna,981.47
15,6,comida y bebida,120.0
15,6,otros,1975.0
15,6,paisaje naturaleza,791.0
15,6,paisaje urbano,676.5
15,6,servicios,30.0
15,6,vida nocturna,432.0
15,7,paisaje urbano,3930.0
15,7,vida nocturna,1068.95
15,8,paisaje naturaleza,100.0
15,8,paisaje urbano,678.75
15,8,servicios,6477.0
15,8,vida nocturna,805.0
15,9,comida y bebida,80.0
15,9,paisaje naturaleza,542.25
15,9,paisaje urbano,568.11
15,9,servicios,3922.0
15,9,vida nocturna,916.81
15,10,comida y bebida,190.5
15,10,paisaje naturaleza,322.33
15,10,servicios,3775.33
15,10,vida nocturna,801.9000000000001
15,11,paisaje urbano,646.89
15,11,servicios,3908.0
15,11,vida nocturna,1887.105
15,12,paisaje naturaleza,676.165
15,12,paisaje urbano,610.86
15,12,servicios,415.0
15,12,vida nocturna,2161.82
16,1,vida nocturna,668.5
16,2,paisaje urbano,1199.0
16,2,vida nocturna,479.6
16,3,paisaje urbano,750.75
16,3,servicios,9755.0
