mes,empresa,tipo_de_servicio,tipo_de_producto,origen,destino,precio
2024-11,renfe-ave,comercial,ld av,madrid,valencia/valencia,34.08
2024-11,renfe-avlo,comercial,ld av,madrid,alicante/alacant,23.19
2024-11,renfe-avlo,comercial,ld av,madrid,barcelona,43.65
2024-11,renfe-avlo,comercial,ld av,madrid,malaga,44.38
2024-11,renfe-avlo,comercial,ld av,madrid,sevilla,38.02
2024-11,renfe-avlo,comercial,ld av,madrid,valencia/valencia,20.05
2024-12,iryo,comercial,ld av,madrid,alicante/alacant,32.76
2024-12,iryo,comercial,ld av,madrid,barcelona,52.15
2024-12,iryo,comercial,ld av,madrid,malaga,48.57
2024-12,iryo,comercial,ld av,madrid,sevilla,46.93
2024-12,iryo,comercial,ld av,madrid,valencia/valencia,27.02
